id	active	fungusLatinName	fungusCommonName	clueRoots	clueButt	clueLowerStem	clueUpperStem	clueBranches	clueFoliage	whyThisFungus	keyDifferentiators	clinicalNotes	examTip	imageRef
1	YES	Armillaria mellea	Honey Fungus	Extensive white mycelial fans visible under bark at root collar when bark peeled, firm texture, spreading pattern	Black rhizomorphs (bootlaces) visible in soil radiating from base, 2-4mm diameter, tough and string-like	No visible external symptoms on bark surface	No visible external symptoms	No visible symptoms on branches	Progressive crown thinning starting in upper crown, 45% density, leaves smaller than normal, premature autumn colour	The combination of white mycelial fans under bark PLUS black rhizomorphs in soil is DIAGNOSTIC for Armillaria. No other fungus produces bootlace-like rhizomorphs. Crown thinning without lower stem symptoms indicates root/vascular compromise from below. Often no fruiting bodies visible when symptoms appear.	GANODERMA: Has woody brackets at base, NO rhizomorphs, brown spore deposits. PSEUDOINONOTUS DRYADEUS: Amber droplets on brackets, NO rhizomorphs. MERIPILUS: Large rosette fruiting bodies with brown bruising, NO rhizomorphs. UNIQUE TO ARMILLARIA: Rhizomorphs are unique (only this genus), white mycelial fans under bark, mushroomy smell when bark peeled, often no visible fruiting when tree symptomatic.	Smell: Strong mushroomy odour under bark when peeled. Progression: Can kill trees in 2-5 years or persist for decades depending on host vigour. Host range: Very wide (most broadleaves and conifers susceptible). Spread: Root-to-root contact underground. Risk level: HIGH - aggressive pathogen, can spread through tree populations.	If you see rhizomorphs or bootlaces in exam question = ALWAYS Armillaria (no other fungus has these). If mycelial fans under bark at collar = likely Armillaria, definitive if rhizomorphs also present. Remember double-L in Armillaria and double-L in mellea.	armillaria_fans_rhizomorphs
2	YES	Ganoderma australe	Southern Bracket	Root flare shows soft fibrous white rot when probed, spongy texture, structural roots affected in excavation	Large hoof-shaped perennial brackets present, concentrically zoned brown upper surface, white margin when actively growing, hard and woody texture	White pore surface on underside of brackets, brown spore deposits visible on ground or lower bark below brackets	No visible symptoms	No visible symptoms	Crown density 70-80%, appears relatively healthy despite root decay	Brown spore deposits on ground beneath brackets are diagnostic for Ganoderma genus. Hoof-shaped woody brackets with zoned brown surface distinguish G. australe. Root decay causes windthrow risk while crown appears deceptively healthy (roots fail before vascular function compromised). White fibrous rot in roots typical.	GANODERMA APPLANATUM: Flat shelf-like brackets (not hoof-shaped), thinner, grey-brown colour. GANODERMA RESINACEUM: Resinous coating on bracket surface. MERIPILUS: Rosette form at base, brown bruising diagnostic. PSEUDOINONOTUS DRYADEUS: Amber droplets, rough bracket surface. UNIQUE TO G. AUSTRALE: Hoof-shaped form, zoned brown surface, hard woody texture, heavy spore deposits, white pore surface.	Location: Root collar and root flare, rarely higher on stem. Decay type: White rot of roots (soft, fibrous, stringy). Failure mode: Windthrow most common (roots fail). Crown condition: Often healthy appearance until failure (misleading). Spores: Prolific brown spore production creates deposits. Growth: Perennial brackets add new layer each year.	HOOF-SHAPED bracket = G. australe. If FLAT shelf = G. applanatum. Heavy brown spore deposits = Ganoderma genus (multiple species possible). Remember: Ganoderma has two N's, australe has no double letters. Australe means southern - remember Australia connection.	ganoderma_australe_hoof
3	YES	Ganoderma applanatum	Artist's Bracket	Root plate excavation shows white rot in structural roots, stringy fibrous texture	Large flat shelf-like brackets at base, grey-brown upper surface (not zoned), overlapping tiers possible, very hard woody texture	Brackets can extend up lower stem, flat shelf form continues, brown spore deposits accumulate on lower bark	No visible symptoms	No visible symptoms	Crown 75% density, foliage appears healthy despite root compromise	Flat shelf-like brackets distinguish G. applanatum from hoof-shaped G. australe. Grey-brown (not concentrically zoned brown) upper surface diagnostic. White pore surface browns when scratched (artist's bracket name origin). Massive brown spore production creates heavy deposits. Root rot while crown healthy = typical Ganoderma pattern.	GANODERMA AUSTRALE: Hoof-shaped (not flat), zoned brown surface. GANODERMA RESINACEUM: Resinous coating. FOMES FOMENTARIUS: Grey hoof-shaped, on beech, higher on stem. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, distinct stalk. UNIQUE TO G. APPLANATUM: Flat shelf form, grey-brown colour (not zoned), white pore surface browns when scratched, can draw on pore surface (artist's use).	Location: Base and lower stem, can extend higher than G. australe. Size: Very large brackets possible (30-50cm diameter). Spores: Prolific spore production, brown deposits diagnostic. Pore surface: White, browns permanently when scratched (artwork surface). Multiple tiers: Often overlapping shelf brackets. Growth: Perennial, new pore layer each year.	FLAT shelf = G. applanatum. HOOF-shaped = G. australe. Scratch test: If white pore surface browns when scratched = G. applanatum (diagnostic test). Remember spelling: applanatum has double-P, double-N.	ganoderma_applanatum_shelf
4	NO	Pseudoinonotus dryadeus	Weeping Oak Polypore	Root collar shows extensive decay, soft and crumbly when probed, roots compromised in excavation	Brackets at root collar, rough surface texture, amber droplets visible (weeping appearance), bracket underside pores rust-brown	No brackets typically present on lower stem	No visible symptoms	No visible symptoms	Crown density 80%, appears healthy despite severe root decay	Amber droplets on bracket surface are DIAGNOSTIC - no other common fungus has this weeping appearance. Root collar location specific. Rust-brown pore surface distinctive. Causes severe root decay while crown remains deceptively healthy. Oak specialist (occasionally other broadleaves).	GANODERMA: Hoof or shelf form, NO amber droplets, white pores, brown spores. MERIPILUS: Rosette form, brown bruising, NO droplets. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, stalk present, NO droplets. UNIQUE TO PSEUDOINONOTUS DRYADEUS: Amber droplets (unique weeping), root collar location, rough irregular bracket, rust-brown pores, oak association.	Host: Primarily oak (Quercus), occasionally sweet chestnut. Location: Root collar specifically (not higher stem). Droplets: Amber liquid exudate on young brackets (may dry in older brackets). Decay: White rot of roots, severe anchorage loss. Failure: Windthrow risk high. Progression: Slow, tree may survive years with extensive decay.	AMBER DROPLETS on brackets at OAK ROOT COLLAR = Pseudoinonotus dryadeus. Droplets are unique - no other common fungus has them. Current accepted name is Pseudoinonotus dryadeus - use this in exam answers. Dryadeus refers to dryads (oak tree spirits). Amber weeping = only one answer.	pseudoinonotus_dryadeus_retired
5	YES	Meripilus giganteus	Giant Polypore	Root plate shows white rot decay, roots soft and crumbly, multiple structural roots affected in excavation	Large rosette of overlapping brackets at base, total diameter can exceed 1 metre, individual brackets fan-shaped	Brackets occasionally extend onto lower stem base	No visible symptoms	No visible symptoms	Crown 70% density, some thinning evident, tree shows stress symptoms	Rosette form with overlapping fan-shaped brackets is diagnostic. Brown/black bruising when bracket touched (fresh brackets) - unique identifier. Very large overall size (can exceed 1m diameter rosette). Annual fruiting (not perennial like Ganoderma). Causes severe root decay and windthrow risk.	GANODERMA: Hoof or shelf form (not rosette), hard woody texture, perennial, NO bruising. PSEUDOINONOTUS DRYADEUS: Smaller brackets, amber droplets, NO bruising. CERIOPORUS SQUAMOSUS: Individual stalked brackets, scaly cap, NO bruising, cream pores. UNIQUE TO MERIPILUS: Rosette form, brown/black bruising when touched (diagnostic), very large size, annual brackets (soft texture), cream-brown pore surface.	Fruiting: Annual (appears late summer/autumn, degrades over winter). Size: Very large rosettes, impressive when fully developed. Bruising: Fresh brackets bruise brown/black when handled (diagnostic test). Decay: White rot of roots and root collar. Failure mode: Windthrow. Smell: No strong odour. Previous fruiting: Check for old degraded brackets from previous years (fibrous remains).	If description says bruises brown/black when touched = ALWAYS Meripilus (unique feature among common fungi). Giganteus = giant size. Rosette form diagnostic. Remember: Meripilus has one-R, giganteus has one-G. Bruising test = quick ID in field.	meripilus_rosette_bruising
6	YES	Kretzschmaria deusta	Brittle Cinder	No visible root symptoms typically	Grey powdery patches on bark at base progressing to hard black crusty stromata - bark loose and peeling away, tissue beneath dark and brittle when snapped	Black crusty stromata extending up lower stem, can cover 180-270° of circumference, bark falls away exposing black brittle tissue beneath	Extension of stromata may reach 2-3m height in advanced cases	No visible symptoms	Crown thinning and dieback in advanced stages, leaves smaller, premature yellowing - healthy crown appearance masks severity until late	Grey-to-black crusty stromata on the STEM (not brackets, not rhizomorphs) combined with BRITTLE ceramic-like fracture of the wood beneath is unique to Kretzschmaria. The most dangerous common decay fungus - causes sudden catastrophic failure with minimal warning. Crown remains deceptively healthy until very late stage. Acts on the stem, not the roots.	ARMILLARIA: White fans and rhizomorphs, root-based, not brittle fracture. GANODERMA: Brackets at base, root decay, NOT brittle. BJERKANDERA: Small thin brackets on dead wood only, saprophytic, NOT brittle. UNIQUE TO KRETZSCHMARIA: Grey-to-black stromata (no bracket, no rhizomorphs), BRITTLE ceramic-like fracture (unique decay type - wood snaps cleanly like fired clay), stem-based not root-based, sudden failure mode, most dangerous common fungus.	Progression: Grey powdery stage -> hard black crusty stromata. Decay type: Soft rot causing BRITTLE fracture - wood snaps cleanly with no fibrous tearing (unique). Failure mode: Sudden catastrophic snap with no warning. Location: Lower stem primarily, not roots. Danger level: HIGHEST of all common fungi - emergency removal usually indicated. Crown: Remains healthy-looking until very late (misleading). Speed: Relatively fast once established.	GREY-TO-BLACK CRUST on STEM (not brackets, not bootlaces) = Kretzschmaria deusta. BRITTLE fracture of wood beneath = confirmed. Most dangerous common fungus - highest priority for removal. Remember: Kretzschmaria (K-r-e-t-z, unusual spelling), deusta = burnt (black appearance). Grey stage AND black stage are the same fungus at different points.	kretzschmaria_black_stromata
7	YES	Fomes fomentarius	Tinder Fungus	No visible root symptoms	Brackets occasionally present at base but more typically higher on stem	Perennial hoof-shaped brackets, grey upper surface with concentric grooves, hard woody texture, multiple brackets at various heights	Brackets common on upper stem, hoof form continues	Brackets may appear on larger branch unions	Crown thinning progressive, decay affects scaffold branches at attachment points	Grey hoof-shaped perennial brackets on STEM (not base) diagnostic. Concentric grooves on grey surface. Beech specialist primarily. White rot of heartwood. Brackets hard and woody (historically used as tinder - name origin). Distinguished from Ganoderma by grey colour, beech host, stem location (not root collar).	GANODERMA AUSTRALE: Brown zoned surface (not grey), base location (not stem), heavy spore deposits. PHELLINUS: Grey-black (not grey), different texture, willow host. CERIOPORUS SQUAMOSUS: Scaly surface, stalked, cream pores. UNIQUE TO FOMES: Grey colour, hoof form, concentric grooves, beech association, STEM location (not base), hard texture, slow growing perennial, no spore deposits visible.	Host: Beech primarily (occasionally birch, other broadleaves). Location: Main stem at various heights (NOT typically at base like Ganoderma). Decay: White rot of heartwood (slow progression). Brackets: Perennial, add layer annually, very hard. Historical use: Used as tinder for fire-starting (punk wood). Size: Medium (10-20cm typical). Colour: Distinctive grey (not brown like Ganoderma).	GREY hoof on BEECH STEM = Fomes fomentarius. BROWN hoof at BASE = Ganoderma. Location key to separation. Remember: Fomes = tinder (fire starting), fomentarius = same root. Grey colour + beech host = diagnostic combination. One-M in Fomes.	fomes_fomentarius_grey_hoof
8	YES	Inonotus hispidus	Shaggy Bracket	No visible root symptoms	No brackets typically at base	Brackets appear on main stem, rough hairy upper surface, rust-brown colour, soft velvety texture when young, becoming harder with age	Brackets common on upper stem at old branch stubs or wounds, irregular bracket shape	Brackets at branch attachment points on larger scaffold branches	Crown shows dieback in areas above bracket locations, dead branches evident, thinning in affected sectors	Rough hairy/shaggy bracket surface diagnostic (hispidus = hairy). Rust-brown colour. Appears at branch stubs and wounds on stem/branches (not at base). Causes localised decay at attachment points. Ash specialist primarily. Annual brackets (not perennial). Soft when fresh, hardens with age.	FOMES: Grey (not rust-brown), smooth (not hairy), perennial, beech host, hoof-shaped. CERIOPORUS SQUAMOSUS: Scaly (not hairy), cream pores, stalked, larger. PHELLINUS: Grey-black, not hairy surface. UNIQUE TO INONOTUS HISPIDUS: Hairy/shaggy surface (hispidus = hairy), rust-brown colour, ash association, branch/wound locations, annual brackets, causes branch dieback above bracket.	Host: Ash primarily (Fraxinus), occasionally apple, walnut, London plane. Location: Stem and branches at old wounds or pruning cuts. Texture: Rough hairy surface (diagnostic), soft when young. Colour: Rust-brown to brown. Form: Irregular bracket, no hoof shape. Decay: White rot localised around bracket. Failure: Branch drop at bracket location. Annual: Degrades over winter (not perennial).	Hairy or shaggy brackets on ASH = Inonotus hispidus. Hispidus literally means hairy/bristly. Ash association key. Remember: Inonotus (one-N), hispidus (one-S at start, one-D). Hairy texture = feel for this in field inspection.	inonotus_hispidus_hairy
9	YES	Perenniporia fraxinea	Ash Bracket	Root collar shows white rot decay in advanced cases	Pale buff to cream coloured perennial brackets at base, concentrically grooved surface, relatively hard texture	Brackets occasionally extend to lower stem	No visible symptoms	No visible symptoms	Crown thinning and dieback progressive over several years	Pale buff/cream perennial brackets diagnostic. Ash specialist. White rot of roots and butt. Brackets show concentric growth rings (perennial). Relatively inconspicuous compared to large Ganoderma brackets. Associated with veteran ash trees. Less aggressive than Armillaria but still serious.	GANODERMA: Brown or grey-brown (not pale buff), larger brackets, not ash-specific. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, stalked, annual. TRAMETES: Thin brackets, different texture. UNIQUE TO PERENNIPORIA: Pale buff/cream colour, ash association (fraxinea = of ash), perennial growth, white rot of roots, veteran tree association, relatively small inconspicuous brackets.	Host: Ash (Fraxinus) primarily, occasionally other hosts. Location: Base and root collar primarily. Colour: Pale buff to cream (distinctive pale colour). Brackets: Perennial, concentrically grooved. Size: Smaller than Ganoderma (5-15cm typical). Decay: White rot of roots and butt. Association: Often on veteran/ancient ash trees. Progression: Slower than Armillaria but still serious.	Pale buff brackets on ASH = likely Perenniporia fraxinea. Fraxinea directly means of ash (Fraxinus). Less well-known than Ganoderma but important on veteran ash. Remember: Perenniporia (double-N, double-R), fraxinea (one-X). Pale colour + ash host = key combination.	perenniporia_fraxinea_pale
10	YES	Laetiporus sulphureus	Chicken of the Woods	No visible root symptoms	Annual brackets may appear at base but more commonly higher	Bright yellow to orange brackets, soft texture when fresh, bracket edges bright yellow, overlapping shelf form	Brackets common on main stem, vibrant colour obvious, multiple tiers possible	Large brackets can appear at major branch unions	Crown shows dieback and dead branches in areas above brackets, tree vigour declining	Bright yellow to orange colour is immediately diagnostic - no other common fungus this colour. Soft texture when fresh. Causes brown rot with delamination pattern (separates wood along growth rings). Annual brackets (appear summer, degrade over winter). Edible when young (chicken flavour - name origin). Multiple overlapping shelves.	FOMES: Grey (not yellow), hoof form. GANODERMA: Brown (not yellow), root location. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, stalked. INONOTUS HISPIDUS: Rust-brown (not bright yellow). UNIQUE TO LAETIPORUS: Bright yellow/orange colour (unmistakable), soft texture, causes brown rot with delamination, edible when young, sulphur yellow colour gives species name.	Colour: Bright yellow to orange (vibrant, diagnostic). Texture: Soft and moist when fresh (hardens and fades with age). Decay: Brown rot causing delamination (wood separates in sheets). Location: Stem and branches, occasionally base. Edibility: Edible when young, popular foraged mushroom. Size: Large brackets (20-40cm), multiple tiers. Name: Sulphureus = sulphur yellow colour.	BRIGHT YELLOW brackets = ALWAYS Laetiporus sulphureus (unique colour). No other common fungus this vibrant. Remember: Laetiporus (one-T), sulphureus (sulphur = yellow - the name describes it). Annual - appears summer, degrades by autumn.	laetiporus_bright_yellow
